Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,12103,-,12103,Insein,MMR013001
 Grade 1,5911,-,5911,Insein,MMR013001
 Grade 2,7753,-,7753,Insein,MMR013001
 Grade 3,11050,-,11050,Insein,MMR013001
 Grade 4,18177,-,18177,Insein,MMR013001
 Grade 5,31734,-,31734,Insein,MMR013001
 Grade 6,17813,-,17813,Insein,MMR013001
 Grade 7,14945,-,14945,Insein,MMR013001
 Grade 8,20257,-,20257,Insein,MMR013001
 Grade 9,24189,-,24189,Insein,MMR013001
 Grade 10,30989,-,30989,Insein,MMR013001
 Grade 11,33151,-,33151,Insein,MMR013001
 College,13878,-,13878,Insein,MMR013001
 Vocational training,1117,-,1117,Insein,MMR013001
 Undergraduate diploma,1456,-,1456,Insein,MMR013001
 Graduate,37052,-,37052,Insein,MMR013001
 Postgraduate diploma,1246,-,1246,Insein,MMR013001
 Master degree,1155,-,1155,Insein,MMR013001
 PhD,300,-,300,Insein,MMR013001
 Other,1725,-,1725,Insein,MMR013001
 Total,286001,-,286001,Insein,MMR013001
