Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4188,23769,27957,Kalaw,MMR014005
 Grade 1,1519,5059,6578,Kalaw,MMR014005
 Grade 2,2100,7464,9564,Kalaw,MMR014005
 Grade 3,3031,10483,13514,Kalaw,MMR014005
 Grade 4,4881,13289,18170,Kalaw,MMR014005
 Grade 5,6050,23102,29152,Kalaw,MMR014005
 Grade 6,3566,6222,9788,Kalaw,MMR014005
 Grade 7,3213,4727,7940,Kalaw,MMR014005
 Grade 8,4118,4912,9030,Kalaw,MMR014005
 Grade 9,4072,4124,8196,Kalaw,MMR014005
 Grade 10,5272,4187,9459,Kalaw,MMR014005
 Grade 11,3734,2850,6584,Kalaw,MMR014005
 College,1797,1165,2962,Kalaw,MMR014005
 Vocational training,79,93,172,Kalaw,MMR014005
 Undergraduate diploma,139,119,258,Kalaw,MMR014005
 Graduate,5019,2503,7522,Kalaw,MMR014005
 Postgraduate diploma,105,40,145,Kalaw,MMR014005
 Master degree,115,39,154,Kalaw,MMR014005
 PhD,19,8,27,Kalaw,MMR014005
 Other,194,1919,2113,Kalaw,MMR014005
 Total,53211,116074,169285,Kalaw,MMR014005
