Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,144,1135,1279,Kalewa,MMR005028
 Grade 1,177,1638,1815,Kalewa,MMR005028
 Grade 2,238,1659,1897,Kalewa,MMR005028
 Grade 3,330,2831,3161,Kalewa,MMR005028
 Grade 4,445,3532,3977,Kalewa,MMR005028
 Grade 5,1518,16956,18474,Kalewa,MMR005028
 Grade 6,499,2782,3281,Kalewa,MMR005028
 Grade 7,453,2222,2675,Kalewa,MMR005028
 Grade 8,543,2007,2550,Kalewa,MMR005028
 Grade 9,675,2061,2736,Kalewa,MMR005028
 Grade 10,560,967,1527,Kalewa,MMR005028
 Grade 11,1053,1657,2710,Kalewa,MMR005028
 College,393,561,954,Kalewa,MMR005028
 Vocational training,14,17,31,Kalewa,MMR005028
 Undergraduate diploma,24,54,78,Kalewa,MMR005028
 Graduate,961,836,1797,Kalewa,MMR005028
 Postgraduate diploma,9,9,18,Kalewa,MMR005028
 Master degree,8,9,17,Kalewa,MMR005028
 PhD,1,1,2,Kalewa,MMR005028
 Other,128,2281,2409,Kalewa,MMR005028
 Total,8173,43215,51388,Kalewa,MMR005028
