Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,413,1270,1683,Kamine(ST),MMR001009
 Grade 1,197,598,795,Kamine(ST),MMR001009
 Grade 2,273,683,956,Kamine(ST),MMR001009
 Grade 3,410,1068,1478,Kamine(ST),MMR001009
 Grade 4,406,1069,1475,Kamine(ST),MMR001009
 Grade 5,615,1836,2451,Kamine(ST),MMR001009
 Grade 6,405,1139,1544,Kamine(ST),MMR001009
 Grade 7,334,890,1224,Kamine(ST),MMR001009
 Grade 8,386,854,1240,Kamine(ST),MMR001009
 Grade 9,421,933,1354,Kamine(ST),MMR001009
 Grade 10,374,564,938,Kamine(ST),MMR001009
 Grade 11,473,804,1277,Kamine(ST),MMR001009
 College,126,156,282,Kamine(ST),MMR001009
 Vocational training,1,2,3,Kamine(ST),MMR001009
 Undergraduate diploma,23,8,31,Kamine(ST),MMR001009
 Graduate,230,176,406,Kamine(ST),MMR001009
 Postgraduate diploma,3,4,7,Kamine(ST),MMR001009
 Master degree,2,2,4,Kamine(ST),MMR001009
 PhD,1,-,1,Kamine(ST),MMR001009
 Other,-,10,10,Kamine(ST),MMR001009
 Total,5093,12066,17159,Kamine(ST),MMR001009
