Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,298,7613,7911,Kamma,MMR009015
 Grade 1,92,1593,1685,Kamma,MMR009015
 Grade 2,166,2482,2648,Kamma,MMR009015
 Grade 3,317,4811,5128,Kamma,MMR009015
 Grade 4,336,5935,6271,Kamma,MMR009015
 Grade 5,966,23679,24645,Kamma,MMR009015
 Grade 6,285,3405,3690,Kamma,MMR009015
 Grade 7,227,2735,2962,Kamma,MMR009015
 Grade 8,260,2802,3062,Kamma,MMR009015
 Grade 9,378,3038,3416,Kamma,MMR009015
 Grade 10,287,1743,2030,Kamma,MMR009015
 Grade 11,409,2592,3001,Kamma,MMR009015
 College,208,694,902,Kamma,MMR009015
 Vocational training,17,92,109,Kamma,MMR009015
 Undergraduate diploma,22,144,166,Kamma,MMR009015
 Graduate,578,1347,1925,Kamma,MMR009015
 Postgraduate diploma,12,26,38,Kamma,MMR009015
 Master degree,8,10,18,Kamma,MMR009015
 PhD,1,1,2,Kamma,MMR009015
 Other,9,279,288,Kamma,MMR009015
 Total,4876,65021,69897,Kamma,MMR009015
