Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3203,16629,19832,Karli(ST),MMR014014
 Grade 1,251,556,807,Karli(ST),MMR014014
 Grade 2,266,606,872,Karli(ST),MMR014014
 Grade 3,374,772,1146,Karli(ST),MMR014014
 Grade 4,467,698,1165,Karli(ST),MMR014014
 Grade 5,628,1031,1659,Karli(ST),MMR014014
 Grade 6,302,273,575,Karli(ST),MMR014014
 Grade 7,270,225,495,Karli(ST),MMR014014
 Grade 8,298,167,465,Karli(ST),MMR014014
 Grade 9,306,239,545,Karli(ST),MMR014014
 Grade 10,173,87,260,Karli(ST),MMR014014
 Grade 11,324,172,496,Karli(ST),MMR014014
 College,78,35,113,Karli(ST),MMR014014
 Vocational training,1,1,2,Karli(ST),MMR014014
 Undergraduate diploma,10,13,23,Karli(ST),MMR014014
 Graduate,176,109,285,Karli(ST),MMR014014
 Postgraduate diploma,1,3,4,Karli(ST),MMR014014
 Master degree,4,-,4,Karli(ST),MMR014014
 Other,-,25,25,Karli(ST),MMR014014
 Total,7132,21641,28773,Karli(ST),MMR014014
