Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,951,8358,9309,Katha,MMR005020
 Grade 1,596,4673,5269,Katha,MMR005020
 Grade 2,736,5501,6237,Katha,MMR005020
 Grade 3,1014,9128,10142,Katha,MMR005020
 Grade 4,1501,12988,14489,Katha,MMR005020
 Grade 5,3570,36923,40493,Katha,MMR005020
 Grade 6,1702,10227,11929,Katha,MMR005020
 Grade 7,1462,8373,9835,Katha,MMR005020
 Grade 8,1663,8305,9968,Katha,MMR005020
 Grade 9,2119,7354,9473,Katha,MMR005020
 Grade 10,1677,4129,5806,Katha,MMR005020
 Grade 11,3551,4776,8327,Katha,MMR005020
 College,1020,1578,2598,Katha,MMR005020
 Vocational training,46,38,84,Katha,MMR005020
 Undergraduate diploma,164,133,297,Katha,MMR005020
 Graduate,2663,1968,4631,Katha,MMR005020
 Postgraduate diploma,30,42,72,Katha,MMR005020
 Master degree,22,24,46,Katha,MMR005020
 PhD,4,4,8,Katha,MMR005020
 Other,104,1495,1599,Katha,MMR005020
 Total,24595,126017,150612,Katha,MMR005020
