Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1248,19554,20802,Kawa,MMR007003
 Grade 1,457,6322,6779,Kawa,MMR007003
 Grade 2,689,9002,9691,Kawa,MMR007003
 Grade 3,1139,14387,15526,Kawa,MMR007003
 Grade 4,1423,18001,19424,Kawa,MMR007003
 Grade 5,3076,43119,46195,Kawa,MMR007003
 Grade 6,1211,10514,11725,Kawa,MMR007003
 Grade 7,833,8163,8996,Kawa,MMR007003
 Grade 8,917,7356,8273,Kawa,MMR007003
 Grade 9,883,7355,8238,Kawa,MMR007003
 Grade 10,749,4533,5282,Kawa,MMR007003
 Grade 11,1267,6730,7997,Kawa,MMR007003
 College,451,1692,2143,Kawa,MMR007003
 Vocational training,12,68,80,Kawa,MMR007003
 Undergraduate diploma,44,162,206,Kawa,MMR007003
 Graduate,1217,3092,4309,Kawa,MMR007003
 Postgraduate diploma,13,29,42,Kawa,MMR007003
 Master degree,6,23,29,Kawa,MMR007003
 PhD,1,-,1,Kawa,MMR007003
 Other,336,1959,2295,Kawa,MMR007003
 Total,15972,162061,178033,Kawa,MMR007003
