Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3243,44436,47679,Kawkareik,MMR003006
 Grade 1,1371,10242,11613,Kawkareik,MMR003006
 Grade 2,1865,13007,14872,Kawkareik,MMR003006
 Grade 3,2821,15686,18507,Kawkareik,MMR003006
 Grade 4,3187,14871,18058,Kawkareik,MMR003006
 Grade 5,5159,19603,24762,Kawkareik,MMR003006
 Grade 6,3168,8702,11870,Kawkareik,MMR003006
 Grade 7,2635,6569,9204,Kawkareik,MMR003006
 Grade 8,2587,6005,8592,Kawkareik,MMR003006
 Grade 9,2877,5730,8607,Kawkareik,MMR003006
 Grade 10,2227,3268,5495,Kawkareik,MMR003006
 Grade 11,3902,3826,7728,Kawkareik,MMR003006
 College,973,983,1956,Kawkareik,MMR003006
 Vocational training,47,60,107,Kawkareik,MMR003006
 Undergraduate diploma,119,167,286,Kawkareik,MMR003006
 Graduate,2639,1793,4432,Kawkareik,MMR003006
 Postgraduate diploma,53,59,112,Kawkareik,MMR003006
 Master degree,43,56,99,Kawkareik,MMR003006
 PhD,4,10,14,Kawkareik,MMR003006
 Other,131,1280,1411,Kawkareik,MMR003006
 Total,39051,156353,195404,Kawkareik,MMR003006
