Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,626,7997,8623,Kawlin,MMR005024
 Grade 1,314,3115,3429,Kawlin,MMR005024
 Grade 2,540,4597,5137,Kawlin,MMR005024
 Grade 3,718,7133,7851,Kawlin,MMR005024
 Grade 4,1142,11258,12400,Kawlin,MMR005024
 Grade 5,4159,41882,46041,Kawlin,MMR005024
 Grade 6,1156,7032,8188,Kawlin,MMR005024
 Grade 7,976,5958,6934,Kawlin,MMR005024
 Grade 8,1224,5847,7071,Kawlin,MMR005024
 Grade 9,1577,4857,6434,Kawlin,MMR005024
 Grade 10,1838,3589,5427,Kawlin,MMR005024
 Grade 11,2168,2856,5024,Kawlin,MMR005024
 College,768,1589,2357,Kawlin,MMR005024
 Vocational training,52,79,131,Kawlin,MMR005024
 Undergraduate diploma,52,154,206,Kawlin,MMR005024
 Graduate,2563,2704,5267,Kawlin,MMR005024
 Postgraduate diploma,19,38,57,Kawlin,MMR005024
 Master degree,14,29,43,Kawlin,MMR005024
 PhD,1,3,4,Kawlin,MMR005024
 Other,16,2397,2413,Kawlin,MMR005024
 Total,19923,113114,133037,Kawlin,MMR005024
