Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3170,640,3810,Kengtaung(ST),MMR014019
 Grade 1,267,1,268,Kengtaung(ST),MMR014019
 Grade 2,380,1,381,Kengtaung(ST),MMR014019
 Grade 3,444,3,447,Kengtaung(ST),MMR014019
 Grade 4,529,3,532,Kengtaung(ST),MMR014019
 Grade 5,891,14,905,Kengtaung(ST),MMR014019
 Grade 6,489,4,493,Kengtaung(ST),MMR014019
 Grade 7,353,-,353,Kengtaung(ST),MMR014019
 Grade 8,403,2,405,Kengtaung(ST),MMR014019
 Grade 9,528,4,532,Kengtaung(ST),MMR014019
 Grade 10,340,-,340,Kengtaung(ST),MMR014019
 Grade 11,549,-,549,Kengtaung(ST),MMR014019
 College,157,-,157,Kengtaung(ST),MMR014019
 Vocational training,9,-,9,Kengtaung(ST),MMR014019
 Undergraduate diploma,22,-,22,Kengtaung(ST),MMR014019
 Graduate,457,-,457,Kengtaung(ST),MMR014019
 Postgraduate diploma,11,-,11,Kengtaung(ST),MMR014019
 Master degree,23,-,23,Kengtaung(ST),MMR014019
 PhD,1,-,1,Kengtaung(ST),MMR014019
 Other,146,29,175,Kengtaung(ST),MMR014019
 Total,9169,701,9870,Kengtaung(ST),MMR014019
