Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1541,1864,3405,Khampat(ST),MMR005030
 Grade 1,555,867,1422,Khampat(ST),MMR005030
 Grade 2,699,951,1650,Khampat(ST),MMR005030
 Grade 3,983,1438,2421,Khampat(ST),MMR005030
 Grade 4,1073,1610,2683,Khampat(ST),MMR005030
 Grade 5,1932,4836,6768,Khampat(ST),MMR005030
 Grade 6,926,1702,2628,Khampat(ST),MMR005030
 Grade 7,736,1348,2084,Khampat(ST),MMR005030
 Grade 8,848,1375,2223,Khampat(ST),MMR005030
 Grade 9,911,1469,2380,Khampat(ST),MMR005030
 Grade 10,663,832,1495,Khampat(ST),MMR005030
 Grade 11,1063,1659,2722,Khampat(ST),MMR005030
 College,166,247,413,Khampat(ST),MMR005030
 Vocational training,10,2,12,Khampat(ST),MMR005030
 Undergraduate diploma,21,19,40,Khampat(ST),MMR005030
 Graduate,257,355,612,Khampat(ST),MMR005030
 Postgraduate diploma,13,25,38,Khampat(ST),MMR005030
 Master degree,15,8,23,Khampat(ST),MMR005030
 PhD,1,1,2,Khampat(ST),MMR005030
 Other,190,508,698,Khampat(ST),MMR005030
 Total,12603,21116,33719,Khampat(ST),MMR005030
