Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3114,14696,17810,Khayan,MMR013026
 Grade 1,1088,4107,5195,Khayan,MMR013026
 Grade 2,1672,6488,8160,Khayan,MMR013026
 Grade 3,2206,9897,12103,Khayan,MMR013026
 Grade 4,5488,22575,28063,Khayan,MMR013026
 Grade 5,2801,19848,22649,Khayan,MMR013026
 Grade 6,1444,6356,7800,Khayan,MMR013026
 Grade 7,1694,6051,7745,Khayan,MMR013026
 Grade 8,2001,5611,7612,Khayan,MMR013026
 Grade 9,1448,4974,6422,Khayan,MMR013026
 Grade 10,3218,5314,8532,Khayan,MMR013026
 Grade 11,434,827,1261,Khayan,MMR013026
 College,880,1471,2351,Khayan,MMR013026
 Vocational training,44,46,90,Khayan,MMR013026
 Undergraduate diploma,75,145,220,Khayan,MMR013026
 Graduate,2501,2193,4694,Khayan,MMR013026
 Postgraduate diploma,43,51,94,Khayan,MMR013026
 Master degree,19,23,42,Khayan,MMR013026
 PhD,6,2,8,Khayan,MMR013026
 Other,165,3571,3736,Khayan,MMR013026
 Total,30341,114246,144587,Khayan,MMR013026
