Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,656,11456,12112,Khin U,MMR005005
 Grade 1,288,4276,4564,Khin U,MMR005005
 Grade 2,371,6570,6941,Khin U,MMR005005
 Grade 3,647,9675,10322,Khin U,MMR005005
 Grade 4,1054,15058,16112,Khin U,MMR005005
 Grade 5,1605,36983,38588,Khin U,MMR005005
 Grade 6,629,7371,8000,Khin U,MMR005005
 Grade 7,641,6355,6996,Khin U,MMR005005
 Grade 8,637,6247,6884,Khin U,MMR005005
 Grade 9,747,5232,5979,Khin U,MMR005005
 Grade 10,929,3619,4548,Khin U,MMR005005
 Grade 11,479,3509,3988,Khin U,MMR005005
 College,408,1768,2176,Khin U,MMR005005
 Vocational training,25,105,130,Khin U,MMR005005
 Undergraduate diploma,51,257,308,Khin U,MMR005005
 Graduate,1333,2590,3923,Khin U,MMR005005
 Postgraduate diploma,12,52,64,Khin U,MMR005005
 Master degree,12,43,55,Khin U,MMR005005
 PhD,5,2,7,Khin U,MMR005005
 Other,7,3063,3070,Khin U,MMR005005
 Total,10536,124231,134767,Khin U,MMR005005
