Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3175,19897,23072,Kukai,MMR015011
 Grade 1,821,4515,5336,Kukai,MMR015011
 Grade 2,1363,5713,7076,Kukai,MMR015011
 Grade 3,1616,6489,8105,Kukai,MMR015011
 Grade 4,1850,6580,8430,Kukai,MMR015011
 Grade 5,2435,7438,9873,Kukai,MMR015011
 Grade 6,1879,3946,5825,Kukai,MMR015011
 Grade 7,1573,3257,4830,Kukai,MMR015011
 Grade 8,1409,2682,4091,Kukai,MMR015011
 Grade 9,1550,2393,3943,Kukai,MMR015011
 Grade 10,1395,2132,3527,Kukai,MMR015011
 Grade 11,1560,800,2360,Kukai,MMR015011
 College,605,407,1012,Kukai,MMR015011
 Vocational training,20,18,38,Kukai,MMR015011
 Undergraduate diploma,50,86,136,Kukai,MMR015011
 Graduate,1279,551,1830,Kukai,MMR015011
 Postgraduate diploma,22,20,42,Kukai,MMR015011
 Master degree,32,8,40,Kukai,MMR015011
 PhD,1,-,1,Kukai,MMR015011
 Other,3,95,98,Kukai,MMR015011
 Total,22638,67027,89665,Kukai,MMR015011
