Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,554,4687,5241,Kungyangon,MMR013029
 Grade 1,673,4570,5243,Kungyangon,MMR013029
 Grade 2,853,6369,7222,Kungyangon,MMR013029
 Grade 3,961,8411,9372,Kungyangon,MMR013029
 Grade 4,2390,14882,17272,Kungyangon,MMR013029
 Grade 5,2084,20378,22462,Kungyangon,MMR013029
 Grade 6,923,4899,5822,Kungyangon,MMR013029
 Grade 7,907,3989,4896,Kungyangon,MMR013029
 Grade 8,1016,3799,4815,Kungyangon,MMR013029
 Grade 9,846,3219,4065,Kungyangon,MMR013029
 Grade 10,1740,3878,5618,Kungyangon,MMR013029
 Grade 11,299,1091,1390,Kungyangon,MMR013029
 College,491,1285,1776,Kungyangon,MMR013029
 Vocational training,25,91,116,Kungyangon,MMR013029
 Undergraduate diploma,86,244,330,Kungyangon,MMR013029
 Graduate,1482,1932,3414,Kungyangon,MMR013029
 Postgraduate diploma,30,64,94,Kungyangon,MMR013029
 Master degree,11,17,28,Kungyangon,MMR013029
 PhD,5,2,7,Kungyangon,MMR013029
 Other,109,3002,3111,Kungyangon,MMR013029
 Total,15485,86809,102294,Kungyangon,MMR013029
