Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2492,8155,10647,Kunhing,MMR014014
 Grade 1,204,709,913,Kunhing,MMR014014
 Grade 2,401,577,978,Kunhing,MMR014014
 Grade 3,329,525,854,Kunhing,MMR014014
 Grade 4,358,475,833,Kunhing,MMR014014
 Grade 5,722,819,1541,Kunhing,MMR014014
 Grade 6,345,297,642,Kunhing,MMR014014
 Grade 7,275,212,487,Kunhing,MMR014014
 Grade 8,299,218,517,Kunhing,MMR014014
 Grade 9,406,269,675,Kunhing,MMR014014
 Grade 10,275,214,489,Kunhing,MMR014014
 Grade 11,492,159,651,Kunhing,MMR014014
 College,118,26,144,Kunhing,MMR014014
 Vocational training,18,5,23,Kunhing,MMR014014
 Undergraduate diploma,31,12,43,Kunhing,MMR014014
 Graduate,264,123,387,Kunhing,MMR014014
 Postgraduate diploma,6,12,18,Kunhing,MMR014014
 Master degree,3,16,19,Kunhing,MMR014014
 PhD,1,-,1,Kunhing,MMR014014
 Other,-,54,54,Kunhing,MMR014014
 Total,7039,12877,19916,Kunhing,MMR014014
