Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1987,21613,23600,Kyaiklatt,MMR017025
 Grade 1,718,6541,7259,Kyaiklatt,MMR017025
 Grade 2,1049,8076,9125,Kyaiklatt,MMR017025
 Grade 3,1491,12367,13858,Kyaiklatt,MMR017025
 Grade 4,2616,20634,23250,Kyaiklatt,MMR017025
 Grade 5,3679,43779,47458,Kyaiklatt,MMR017025
 Grade 6,1323,8452,9775,Kyaiklatt,MMR017025
 Grade 7,1246,6504,7750,Kyaiklatt,MMR017025
 Grade 8,1480,6294,7774,Kyaiklatt,MMR017025
 Grade 9,1381,5415,6796,Kyaiklatt,MMR017025
 Grade 10,2004,5222,7226,Kyaiklatt,MMR017025
 Grade 11,1004,2184,3188,Kyaiklatt,MMR017025
 College,506,1141,1647,Kyaiklatt,MMR017025
 Vocational training,24,42,66,Kyaiklatt,MMR017025
 Undergraduate diploma,88,102,190,Kyaiklatt,MMR017025
 Graduate,1914,2052,3966,Kyaiklatt,MMR017025
 Postgraduate diploma,24,28,52,Kyaiklatt,MMR017025
 Master degree,11,20,31,Kyaiklatt,MMR017025
 PhD,1,1,2,Kyaiklatt,MMR017025
 Other,61,1699,1760,Kyaiklatt,MMR017025
 Total,22607,152166,174773,Kyaiklatt,MMR017025
