Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1193,7266,8459,Kyangin,MMR017012
 Grade 1,316,1710,2026,Kyangin,MMR017012
 Grade 2,483,2602,3085,Kyangin,MMR017012
 Grade 3,756,4371,5127,Kyangin,MMR017012
 Grade 4,1001,6250,7251,Kyangin,MMR017012
 Grade 5,3681,24369,28050,Kyangin,MMR017012
 Grade 6,1079,4004,5083,Kyangin,MMR017012
 Grade 7,881,3412,4293,Kyangin,MMR017012
 Grade 8,1157,3431,4588,Kyangin,MMR017012
 Grade 9,1441,3516,4957,Kyangin,MMR017012
 Grade 10,1330,2875,4205,Kyangin,MMR017012
 Grade 11,2344,3035,5379,Kyangin,MMR017012
 College,591,873,1464,Kyangin,MMR017012
 Vocational training,33,70,103,Kyangin,MMR017012
 Undergraduate diploma,51,140,191,Kyangin,MMR017012
 Graduate,1817,1757,3574,Kyangin,MMR017012
 Postgraduate diploma,27,52,79,Kyangin,MMR017012
 Master degree,10,12,22,Kyangin,MMR017012
 PhD,1,-,1,Kyangin,MMR017012
 Other,13,1412,1425,Kyangin,MMR017012
 Total,18205,71157,89362,Kyangin,MMR017012
