Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,906,23193,24099,Kyarinseikkyi,MMR003007
 Grade 1,313,5548,5861,Kyarinseikkyi,MMR003007
 Grade 2,481,7531,8012,Kyarinseikkyi,MMR003007
 Grade 3,569,9254,9823,Kyarinseikkyi,MMR003007
 Grade 4,667,8702,9369,Kyarinseikkyi,MMR003007
 Grade 5,1078,10945,12023,Kyarinseikkyi,MMR003007
 Grade 6,622,4490,5112,Kyarinseikkyi,MMR003007
 Grade 7,488,3358,3846,Kyarinseikkyi,MMR003007
 Grade 8,493,2844,3337,Kyarinseikkyi,MMR003007
 Grade 9,524,2582,3106,Kyarinseikkyi,MMR003007
 Grade 10,675,1929,2604,Kyarinseikkyi,MMR003007
 Grade 11,521,1884,2405,Kyarinseikkyi,MMR003007
 College,248,538,786,Kyarinseikkyi,MMR003007
 Vocational training,7,35,42,Kyarinseikkyi,MMR003007
 Undergraduate diploma,23,134,157,Kyarinseikkyi,MMR003007
 Graduate,614,719,1333,Kyarinseikkyi,MMR003007
 Postgraduate diploma,10,68,78,Kyarinseikkyi,MMR003007
 Master degree,10,16,26,Kyarinseikkyi,MMR003007
 PhD,-,1,1,Kyarinseikkyi,MMR003007
 Other,61,2707,2768,Kyarinseikkyi,MMR003007
 Total,8310,86478,94788,Kyarinseikkyi,MMR003007
