Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,404,2921,3325,Kyaukhtu(ST),MMR009025
 Grade 1,126,709,835,Kyaukhtu(ST),MMR009025
 Grade 2,191,852,1043,Kyaukhtu(ST),MMR009025
 Grade 3,206,1391,1597,Kyaukhtu(ST),MMR009025
 Grade 4,281,2523,2804,Kyaukhtu(ST),MMR009025
 Grade 5,894,7773,8667,Kyaukhtu(ST),MMR009025
 Grade 6,231,1636,1867,Kyaukhtu(ST),MMR009025
 Grade 7,213,1351,1564,Kyaukhtu(ST),MMR009025
 Grade 8,336,1612,1948,Kyaukhtu(ST),MMR009025
 Grade 9,228,1497,1725,Kyaukhtu(ST),MMR009025
 Grade 10,514,1902,2416,Kyaukhtu(ST),MMR009025
 Grade 11,112,558,670,Kyaukhtu(ST),MMR009025
 College,131,467,598,Kyaukhtu(ST),MMR009025
 Vocational training,9,199,208,Kyaukhtu(ST),MMR009025
 Undergraduate diploma,17,50,67,Kyaukhtu(ST),MMR009025
 Graduate,367,971,1338,Kyaukhtu(ST),MMR009025
 Postgraduate diploma,20,36,56,Kyaukhtu(ST),MMR009025
 Master degree,9,8,17,Kyaukhtu(ST),MMR009025
 PhD,-,1,1,Kyaukhtu(ST),MMR009025
 Other,-,4,4,Kyaukhtu(ST),MMR009025
 Total,4289,26461,30750,Kyaukhtu(ST),MMR009025
