Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,709,13873,14582,Kyaukkyi,MMR007011
 Grade 1,397,4970,5367,Kyaukkyi,MMR007011
 Grade 2,490,7224,7714,Kyaukkyi,MMR007011
 Grade 3,828,9893,10721,Kyaukkyi,MMR007011
 Grade 4,874,10922,11796,Kyaukkyi,MMR007011
 Grade 5,1678,16719,18397,Kyaukkyi,MMR007011
 Grade 6,673,6160,6833,Kyaukkyi,MMR007011
 Grade 7,577,4476,5053,Kyaukkyi,MMR007011
 Grade 8,618,4121,4739,Kyaukkyi,MMR007011
 Grade 9,564,3713,4277,Kyaukkyi,MMR007011
 Grade 10,628,2856,3484,Kyaukkyi,MMR007011
 Grade 11,732,3075,3807,Kyaukkyi,MMR007011
 College,246,829,1075,Kyaukkyi,MMR007011
 Vocational training,2,22,24,Kyaukkyi,MMR007011
 Undergraduate diploma,25,127,152,Kyaukkyi,MMR007011
 Graduate,548,1432,1980,Kyaukkyi,MMR007011
 Postgraduate diploma,6,27,33,Kyaukkyi,MMR007011
 Master degree,4,25,29,Kyaukkyi,MMR007011
 PhD,-,2,2,Kyaukkyi,MMR007011
 Other,237,586,823,Kyaukkyi,MMR007011
 Total,9836,91052,100888,Kyaukkyi,MMR007011
