Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2205,30485,32690,Kyaukpadaung,MMR010020
 Grade 1,1084,8813,9897,Kyaukpadaung,MMR010020
 Grade 2,1435,12896,14331,Kyaukpadaung,MMR010020
 Grade 3,1698,16141,17839,Kyaukpadaung,MMR010020
 Grade 4,4264,28343,32607,Kyaukpadaung,MMR010020
 Grade 5,4039,38253,42292,Kyaukpadaung,MMR010020
 Grade 6,1999,10923,12922,Kyaukpadaung,MMR010020
 Grade 7,2278,10631,12909,Kyaukpadaung,MMR010020
 Grade 8,2921,10651,13572,Kyaukpadaung,MMR010020
 Grade 9,2835,9661,12496,Kyaukpadaung,MMR010020
 Grade 10,5104,10405,15509,Kyaukpadaung,MMR010020
 Grade 11,1598,2948,4546,Kyaukpadaung,MMR010020
 College,1776,2614,4390,Kyaukpadaung,MMR010020
 Vocational training,163,224,387,Kyaukpadaung,MMR010020
 Undergraduate diploma,973,407,1380,Kyaukpadaung,MMR010020
 Graduate,5120,4769,9889,Kyaukpadaung,MMR010020
 Postgraduate diploma,69,83,152,Kyaukpadaung,MMR010020
 Master degree,79,58,137,Kyaukpadaung,MMR010020
 PhD,9,13,22,Kyaukpadaung,MMR010020
 Other,262,1950,2212,Kyaukpadaung,MMR010020
 Total,39911,200268,240179,Kyaukpadaung,MMR010020
