Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2507,31963,34470,Kyaukpyu,MMR012011
 Grade 1,411,6438,6849,Kyaukpyu,MMR012011
 Grade 2,692,8972,9664,Kyaukpyu,MMR012011
 Grade 3,1064,12408,13472,Kyaukpyu,MMR012011
 Grade 4,1545,15358,16903,Kyaukpyu,MMR012011
 Grade 5,2202,20111,22313,Kyaukpyu,MMR012011
 Grade 6,1071,7090,8161,Kyaukpyu,MMR012011
 Grade 7,1015,5944,6959,Kyaukpyu,MMR012011
 Grade 8,1164,5676,6840,Kyaukpyu,MMR012011
 Grade 9,1306,5298,6604,Kyaukpyu,MMR012011
 Grade 10,1090,3327,4417,Kyaukpyu,MMR012011
 Grade 11,2433,5125,7558,Kyaukpyu,MMR012011
 College,683,1142,1825,Kyaukpyu,MMR012011
 Vocational training,30,79,109,Kyaukpyu,MMR012011
 Undergraduate diploma,90,286,376,Kyaukpyu,MMR012011
 Graduate,2094,2239,4333,Kyaukpyu,MMR012011
 Postgraduate diploma,53,26,79,Kyaukpyu,MMR012011
 Master degree,22,23,45,Kyaukpyu,MMR012011
 PhD,2,8,10,Kyaukpyu,MMR012011
 Other,90,256,346,Kyaukpyu,MMR012011
 Total,19564,131769,151333,Kyaukpyu,MMR012011
