Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1550,15587,17137,Kyaukse,MMR010013
 Grade 1,1019,8541,9560,Kyaukse,MMR010013
 Grade 2,1465,12773,14238,Kyaukse,MMR010013
 Grade 3,1849,17890,19739,Kyaukse,MMR010013
 Grade 4,4672,29254,33926,Kyaukse,MMR010013
 Grade 5,4062,44763,48825,Kyaukse,MMR010013
 Grade 6,2158,11648,13806,Kyaukse,MMR010013
 Grade 7,2177,9790,11967,Kyaukse,MMR010013
 Grade 8,2692,9759,12451,Kyaukse,MMR010013
 Grade 9,2377,8736,11113,Kyaukse,MMR010013
 Grade 10,4695,9537,14232,Kyaukse,MMR010013
 Grade 11,1364,4132,5496,Kyaukse,MMR010013
 College,1784,3033,4817,Kyaukse,MMR010013
 Vocational training,119,314,433,Kyaukse,MMR010013
 Undergraduate diploma,269,661,930,Kyaukse,MMR010013
 Graduate,4912,6857,11769,Kyaukse,MMR010013
 Postgraduate diploma,154,196,350,Kyaukse,MMR010013
 Master degree,202,237,439,Kyaukse,MMR010013
 PhD,74,63,137,Kyaukse,MMR010013
 Other,1033,3537,4570,Kyaukse,MMR010013
 Total,38627,197308,235935,Kyaukse,MMR010013
