Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2704,8471,11175,Kyauktan,MMR013024
 Grade 1,1119,2845,3964,Kyauktan,MMR013024
 Grade 2,1726,4075,5801,Kyauktan,MMR013024
 Grade 3,2275,6690,8965,Kyauktan,MMR013024
 Grade 4,4742,12157,16899,Kyauktan,MMR013024
 Grade 5,7026,23602,30628,Kyauktan,MMR013024
 Grade 6,2413,4657,7070,Kyauktan,MMR013024
 Grade 7,2129,3711,5840,Kyauktan,MMR013024
 Grade 8,2542,3779,6321,Kyauktan,MMR013024
 Grade 9,2626,3428,6054,Kyauktan,MMR013024
 Grade 10,3606,4121,7727,Kyauktan,MMR013024
 Grade 11,1754,1240,2994,Kyauktan,MMR013024
 College,1417,1335,2752,Kyauktan,MMR013024
 Vocational training,90,43,133,Kyauktan,MMR013024
 Undergraduate diploma,74,121,195,Kyauktan,MMR013024
 Graduate,3395,2202,5597,Kyauktan,MMR013024
 Postgraduate diploma,80,51,131,Kyauktan,MMR013024
 Master degree,53,9,62,Kyauktan,MMR013024
 PhD,13,9,22,Kyauktan,MMR013024
 Other,69,219,288,Kyauktan,MMR013024
 Total,39853,82765,122618,Kyauktan,MMR013024
