Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2009,18919,20928,Kyonpyaw,MMR017005
 Grade 1,550,8334,8884,Kyonpyaw,MMR017005
 Grade 2,934,12205,13139,Kyonpyaw,MMR017005
 Grade 3,1375,19654,21029,Kyonpyaw,MMR017005
 Grade 4,2002,22187,24189,Kyonpyaw,MMR017005
 Grade 5,3342,48689,52031,Kyonpyaw,MMR017005
 Grade 6,1365,12052,13417,Kyonpyaw,MMR017005
 Grade 7,1213,9279,10492,Kyonpyaw,MMR017005
 Grade 8,1404,9164,10568,Kyonpyaw,MMR017005
 Grade 9,1426,8535,9961,Kyonpyaw,MMR017005
 Grade 10,2293,7607,9900,Kyonpyaw,MMR017005
 Grade 11,1182,6906,8088,Kyonpyaw,MMR017005
 College,725,2103,2828,Kyonpyaw,MMR017005
 Vocational training,15,103,118,Kyonpyaw,MMR017005
 Undergraduate diploma,45,308,353,Kyonpyaw,MMR017005
 Graduate,2055,3793,5848,Kyonpyaw,MMR017005
 Postgraduate diploma,27,74,101,Kyonpyaw,MMR017005
 Master degree,25,38,63,Kyonpyaw,MMR017005
 PhD,4,3,7,Kyonpyaw,MMR017005
 Other,243,2107,2350,Kyonpyaw,MMR017005
 Total,22234,192060,214294,Kyonpyaw,MMR017005
