Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,528,7402,7930,Kyunhlau,MMR005008
 Grade 1,259,2763,3022,Kyunhlau,MMR005008
 Grade 2,410,3357,3767,Kyunhlau,MMR005008
 Grade 3,605,5426,6031,Kyunhlau,MMR005008
 Grade 4,1301,9436,10737,Kyunhlau,MMR005008
 Grade 5,1895,25921,27816,Kyunhlau,MMR005008
 Grade 6,725,5936,6661,Kyunhlau,MMR005008
 Grade 7,621,4771,5392,Kyunhlau,MMR005008
 Grade 8,774,4588,5362,Kyunhlau,MMR005008
 Grade 9,645,4037,4682,Kyunhlau,MMR005008
 Grade 10,1286,4214,5500,Kyunhlau,MMR005008
 Grade 11,338,1083,1421,Kyunhlau,MMR005008
 College,359,1003,1362,Kyunhlau,MMR005008
 Vocational training,28,40,68,Kyunhlau,MMR005008
 Undergraduate diploma,44,90,134,Kyunhlau,MMR005008
 Graduate,1186,1622,2808,Kyunhlau,MMR005008
 Postgraduate diploma,10,35,45,Kyunhlau,MMR005008
 Master degree,6,12,18,Kyunhlau,MMR005008
 PhD,2,4,6,Kyunhlau,MMR005008
 Other,201,1352,1553,Kyunhlau,MMR005008
 Total,11223,83092,94315,Kyunhlau,MMR005008
