Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3026,32121,35147,Labutta,MMR017016
 Grade 1,766,9246,10012,Labutta,MMR017016
 Grade 2,1160,11970,13130,Labutta,MMR017016
 Grade 3,1734,17814,19548,Labutta,MMR017016
 Grade 4,2360,21160,23520,Labutta,MMR017016
 Grade 5,4236,37937,42173,Labutta,MMR017016
 Grade 6,1992,10523,12515,Labutta,MMR017016
 Grade 7,1507,6996,8503,Labutta,MMR017016
 Grade 8,1815,6288,8103,Labutta,MMR017016
 Grade 9,1884,6565,8449,Labutta,MMR017016
 Grade 10,2084,4858,6942,Labutta,MMR017016
 Grade 11,2650,4154,6804,Labutta,MMR017016
 College,835,1262,2097,Labutta,MMR017016
 Vocational training,52,76,128,Labutta,MMR017016
 Undergraduate diploma,65,187,252,Labutta,MMR017016
 Graduate,2423,2446,4869,Labutta,MMR017016
 Postgraduate diploma,41,35,76,Labutta,MMR017016
 Master degree,19,16,35,Labutta,MMR017016
 PhD,1,1,2,Labutta,MMR017016
 Other,111,2662,2773,Labutta,MMR017016
 Total,28761,176317,205078,Labutta,MMR017016
