Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,816,27143,27959,Lahe,MMR005036
 Grade 1,157,1403,1560,Lahe,MMR005036
 Grade 2,126,1346,1472,Lahe,MMR005036
 Grade 3,128,1274,1402,Lahe,MMR005036
 Grade 4,136,1065,1201,Lahe,MMR005036
 Grade 5,201,853,1054,Lahe,MMR005036
 Grade 6,155,441,596,Lahe,MMR005036
 Grade 7,139,382,521,Lahe,MMR005036
 Grade 8,153,268,421,Lahe,MMR005036
 Grade 9,135,308,443,Lahe,MMR005036
 Grade 10,315,171,486,Lahe,MMR005036
 Grade 11,67,82,149,Lahe,MMR005036
 College,58,20,78,Lahe,MMR005036
 Vocational training,3,7,10,Lahe,MMR005036
 Undergraduate diploma,4,14,18,Lahe,MMR005036
 Graduate,163,49,212,Lahe,MMR005036
 Postgraduate diploma,3,4,7,Lahe,MMR005036
 Master degree,3,-,3,Lahe,MMR005036
 Other,3,31,34,Lahe,MMR005036
 Total,2765,34861,37626,Lahe,MMR005036
