Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1449,22123,23572,Le`char,MMR014012
 Grade 1,221,2016,2237,Le`char,MMR014012
 Grade 2,289,1625,1914,Le`char,MMR014012
 Grade 3,366,1850,2216,Le`char,MMR014012
 Grade 4,420,1910,2330,Le`char,MMR014012
 Grade 5,889,2876,3765,Le`char,MMR014012
 Grade 6,448,925,1373,Le`char,MMR014012
 Grade 7,384,841,1225,Le`char,MMR014012
 Grade 8,449,712,1161,Le`char,MMR014012
 Grade 9,601,724,1325,Le`char,MMR014012
 Grade 10,871,509,1380,Le`char,MMR014012
 Grade 11,371,360,731,Le`char,MMR014012
 College,176,110,286,Le`char,MMR014012
 Vocational training,8,20,28,Le`char,MMR014012
 Undergraduate diploma,8,26,34,Le`char,MMR014012
 Graduate,500,239,739,Le`char,MMR014012
 Postgraduate diploma,1,3,4,Le`char,MMR014012
 Master degree,1,8,9,Le`char,MMR014012
 PhD,1,-,1,Le`char,MMR014012
 Other,3,388,391,Le`char,MMR014012
 Total,7456,37265,44721,Le`char,MMR014012
