Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,150,4541,4691,Leiktho(ST),MMR003004
 Grade 1,151,2979,3130,Leiktho(ST),MMR003004
 Grade 2,105,3074,3179,Leiktho(ST),MMR003004
 Grade 3,156,3904,4060,Leiktho(ST),MMR003004
 Grade 4,182,4195,4377,Leiktho(ST),MMR003004
 Grade 5,311,7444,7755,Leiktho(ST),MMR003004
 Grade 6,239,3272,3511,Leiktho(ST),MMR003004
 Grade 7,190,2165,2355,Leiktho(ST),MMR003004
 Grade 8,172,1842,2014,Leiktho(ST),MMR003004
 Grade 9,230,1894,2124,Leiktho(ST),MMR003004
 Grade 10,165,1166,1331,Leiktho(ST),MMR003004
 Grade 11,468,1762,2230,Leiktho(ST),MMR003004
 College,87,164,251,Leiktho(ST),MMR003004
 Vocational training,5,20,25,Leiktho(ST),MMR003004
 Undergraduate diploma,12,33,45,Leiktho(ST),MMR003004
 Graduate,140,246,386,Leiktho(ST),MMR003004
 Postgraduate diploma,-,8,8,Leiktho(ST),MMR003004
 Master degree,17,1,18,Leiktho(ST),MMR003004
 PhD,1,1,2,Leiktho(ST),MMR003004
 Other,-,12,12,Leiktho(ST),MMR003004
 Total,2781,38723,41504,Leiktho(ST),MMR003004
