Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2859,12120,14979,Loikaw,MMR002001
 Grade 1,1220,3452,4672,Loikaw,MMR002001
 Grade 2,1510,3874,5384,Loikaw,MMR002001
 Grade 3,2213,5190,7403,Loikaw,MMR002001
 Grade 4,2763,6075,8838,Loikaw,MMR002001
 Grade 5,5206,8794,14000,Loikaw,MMR002001
 Grade 6,2831,4653,7484,Loikaw,MMR002001
 Grade 7,2601,4158,6759,Loikaw,MMR002001
 Grade 8,2969,4040,7009,Loikaw,MMR002001
 Grade 9,3977,4260,8237,Loikaw,MMR002001
 Grade 10,3805,3307,7112,Loikaw,MMR002001
 Grade 11,6654,4496,11150,Loikaw,MMR002001
 College,2235,1128,3363,Loikaw,MMR002001
 Vocational training,341,145,486,Loikaw,MMR002001
 Undergraduate diploma,242,175,417,Loikaw,MMR002001
 Graduate,5296,1960,7256,Loikaw,MMR002001
 Postgraduate diploma,153,36,189,Loikaw,MMR002001
 Master degree,118,59,177,Loikaw,MMR002001
 PhD,29,11,40,Loikaw,MMR002001
 Other,48,156,204,Loikaw,MMR002001
 Total,47070,68089,115159,Loikaw,MMR002001
