Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1468,14277,15745,Loilem,MMR014011
 Grade 1,243,1488,1731,Loilem,MMR014011
 Grade 2,391,1875,2266,Loilem,MMR014011
 Grade 3,644,2600,3244,Loilem,MMR014011
 Grade 4,631,2406,3037,Loilem,MMR014011
 Grade 5,1341,5172,6513,Loilem,MMR014011
 Grade 6,742,1436,2178,Loilem,MMR014011
 Grade 7,682,1207,1889,Loilem,MMR014011
 Grade 8,837,1061,1898,Loilem,MMR014011
 Grade 9,1021,1039,2060,Loilem,MMR014011
 Grade 10,978,554,1532,Loilem,MMR014011
 Grade 11,1331,640,1971,Loilem,MMR014011
 College,524,133,657,Loilem,MMR014011
 Vocational training,10,2,12,Loilem,MMR014011
 Undergraduate diploma,70,17,87,Loilem,MMR014011
 Graduate,1370,282,1652,Loilem,MMR014011
 Postgraduate diploma,50,6,56,Loilem,MMR014011
 Master degree,56,22,78,Loilem,MMR014011
 PhD,8,5,13,Loilem,MMR014011
 Other,8,20,28,Loilem,MMR014011
 Total,12405,34242,46647,Loilem,MMR014011
