Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1794,113,1907,Lwe`ge`(ST),MMR001012
 Grade 1,514,59,573,Lwe`ge`(ST),MMR001012
 Grade 2,585,160,745,Lwe`ge`(ST),MMR001012
 Grade 3,673,171,844,Lwe`ge`(ST),MMR001012
 Grade 4,540,176,716,Lwe`ge`(ST),MMR001012
 Grade 5,722,220,942,Lwe`ge`(ST),MMR001012
 Grade 6,491,136,627,Lwe`ge`(ST),MMR001012
 Grade 7,465,146,611,Lwe`ge`(ST),MMR001012
 Grade 8,346,98,444,Lwe`ge`(ST),MMR001012
 Grade 9,397,100,497,Lwe`ge`(ST),MMR001012
 Grade 10,245,89,334,Lwe`ge`(ST),MMR001012
 Grade 11,375,60,435,Lwe`ge`(ST),MMR001012
 College,120,6,126,Lwe`ge`(ST),MMR001012
 Vocational training,3,-,3,Lwe`ge`(ST),MMR001012
 Undergraduate diploma,10,-,10,Lwe`ge`(ST),MMR001012
 Graduate,251,10,261,Lwe`ge`(ST),MMR001012
 Postgraduate diploma,2,-,2,Lwe`ge`(ST),MMR001012
 Master degree,6,-,6,Lwe`ge`(ST),MMR001012
 PhD,1,-,1,Lwe`ge`(ST),MMR001012
 Other,40,1,41,Lwe`ge`(ST),MMR001012
 Total,7580,1545,9125,Lwe`ge`(ST),MMR001012
