Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,5354,32888,38242,Magway,MMR009001
 Grade 1,1806,5700,7506,Magway,MMR009001
 Grade 2,2366,8565,10931,Magway,MMR009001
 Grade 3,3347,12952,16299,Magway,MMR009001
 Grade 4,5466,17708,23174,Magway,MMR009001
 Grade 5,9627,42525,52152,Magway,MMR009001
 Grade 6,4627,10488,15115,Magway,MMR009001
 Grade 7,4050,8407,12457,Magway,MMR009001
 Grade 8,5223,8323,13546,Magway,MMR009001
 Grade 9,6300,8929,15229,Magway,MMR009001
 Grade 10,6951,6279,13230,Magway,MMR009001
 Grade 11,9710,5494,15204,Magway,MMR009001
 College,6054,2871,8925,Magway,MMR009001
 Vocational training,595,185,780,Magway,MMR009001
 Undergraduate diploma,805,432,1237,Magway,MMR009001
 Graduate,13704,4480,18184,Magway,MMR009001
 Postgraduate diploma,381,147,528,Magway,MMR009001
 Master degree,823,174,997,Magway,MMR009001
 PhD,121,23,144,Magway,MMR009001
 Other,337,1696,2033,Magway,MMR009001
 Total,87647,178266,265913,Magway,MMR009001
