Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,59,13182,13241,Makman,MMR015024
 Grade 1,2,511,513,Makman,MMR015024
 Grade 2,9,461,470,Makman,MMR015024
 Grade 3,14,489,503,Makman,MMR015024
 Grade 4,8,497,505,Makman,MMR015024
 Grade 5,20,418,438,Makman,MMR015024
 Grade 6,8,217,225,Makman,MMR015024
 Grade 7,11,151,162,Makman,MMR015024
 Grade 8,22,118,140,Makman,MMR015024
 Grade 9,18,135,153,Makman,MMR015024
 Grade 10,23,119,142,Makman,MMR015024
 Grade 11,7,28,35,Makman,MMR015024
 College,8,18,26,Makman,MMR015024
 Vocational training,-,9,9,Makman,MMR015024
 Undergraduate diploma,11,18,29,Makman,MMR015024
 Graduate,40,50,90,Makman,MMR015024
 Postgraduate diploma,3,3,6,Makman,MMR015024
 Other,-,2,2,Makman,MMR015024
 Total,263,16426,16689,Makman,MMR015024
