Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,142,834,976,ManKan(ST),MMR015005
 Grade 1,30,42,72,ManKan(ST),MMR015005
 Grade 2,17,35,52,ManKan(ST),MMR015005
 Grade 3,14,31,45,ManKan(ST),MMR015005
 Grade 4,26,32,58,ManKan(ST),MMR015005
 Grade 5,17,26,43,ManKan(ST),MMR015005
 Grade 6,12,14,26,ManKan(ST),MMR015005
 Grade 7,14,7,21,ManKan(ST),MMR015005
 Grade 8,10,3,13,ManKan(ST),MMR015005
 Grade 9,13,12,25,ManKan(ST),MMR015005
 Grade 10,3,3,6,ManKan(ST),MMR015005
 Grade 11,17,4,21,ManKan(ST),MMR015005
 College,14,2,16,ManKan(ST),MMR015005
 Undergraduate diploma,4,1,5,ManKan(ST),MMR015005
 Graduate,32,4,36,ManKan(ST),MMR015005
 Postgraduate diploma,1,4,5,ManKan(ST),MMR015005
 Master degree,2,-,2,ManKan(ST),MMR015005
 Total,368,1054,1422,ManKan(ST),MMR015005
