Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,749,3135,3884,Manhero(ST),MMR015009
 Grade 1,60,276,336,Manhero(ST),MMR015009
 Grade 2,62,238,300,Manhero(ST),MMR015009
 Grade 3,81,334,415,Manhero(ST),MMR015009
 Grade 4,72,248,320,Manhero(ST),MMR015009
 Grade 5,72,279,351,Manhero(ST),MMR015009
 Grade 6,40,104,144,Manhero(ST),MMR015009
 Grade 7,29,80,109,Manhero(ST),MMR015009
 Grade 8,26,69,95,Manhero(ST),MMR015009
 Grade 9,24,59,83,Manhero(ST),MMR015009
 Grade 10,17,25,42,Manhero(ST),MMR015009
 Grade 11,32,50,82,Manhero(ST),MMR015009
 College,10,8,18,Manhero(ST),MMR015009
 Undergraduate diploma,6,2,8,Manhero(ST),MMR015009
 Graduate,40,9,49,Manhero(ST),MMR015009
 Postgraduate diploma,2,3,5,Manhero(ST),MMR015009
 Master degree,1,-,1,Manhero(ST),MMR015009
 Total,1323,4919,6242,Manhero(ST),MMR015009
