Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1230,13330,14560,Maukme`,MMR014020
 Grade 1,151,1507,1658,Maukme`,MMR014020
 Grade 2,190,1825,2015,Maukme`,MMR014020
 Grade 3,295,1970,2265,Maukme`,MMR014020
 Grade 4,286,1979,2265,Maukme`,MMR014020
 Grade 5,545,2036,2581,Maukme`,MMR014020
 Grade 6,343,482,825,Maukme`,MMR014020
 Grade 7,296,358,654,Maukme`,MMR014020
 Grade 8,265,271,536,Maukme`,MMR014020
 Grade 9,278,298,576,Maukme`,MMR014020
 Grade 10,208,148,356,Maukme`,MMR014020
 Grade 11,360,214,574,Maukme`,MMR014020
 College,137,63,200,Maukme`,MMR014020
 Vocational training,4,6,10,Maukme`,MMR014020
 Undergraduate diploma,13,12,25,Maukme`,MMR014020
 Graduate,280,90,370,Maukme`,MMR014020
 Postgraduate diploma,2,1,3,Maukme`,MMR014020
 Master degree,3,1,4,Maukme`,MMR014020
 Other,1,83,84,Maukme`,MMR014020
 Total,4887,24674,29561,Maukme`,MMR014020
