Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,440,2016,2456,Mawlaik,MMR005031
 Grade 1,254,1420,1674,Mawlaik,MMR005031
 Grade 2,254,1920,2174,Mawlaik,MMR005031
 Grade 3,422,2610,3032,Mawlaik,MMR005031
 Grade 4,627,3509,4136,Mawlaik,MMR005031
 Grade 5,1436,14638,16074,Mawlaik,MMR005031
 Grade 6,533,2346,2879,Mawlaik,MMR005031
 Grade 7,449,2038,2487,Mawlaik,MMR005031
 Grade 8,504,2030,2534,Mawlaik,MMR005031
 Grade 9,476,1566,2042,Mawlaik,MMR005031
 Grade 10,774,1136,1910,Mawlaik,MMR005031
 Grade 11,588,1312,1900,Mawlaik,MMR005031
 College,253,462,715,Mawlaik,MMR005031
 Vocational training,13,45,58,Mawlaik,MMR005031
 Undergraduate diploma,21,62,83,Mawlaik,MMR005031
 Graduate,737,693,1430,Mawlaik,MMR005031
 Postgraduate diploma,6,14,20,Mawlaik,MMR005031
 Master degree,13,6,19,Mawlaik,MMR005031
 PhD,-,2,2,Mawlaik,MMR005031
 Other,48,527,575,Mawlaik,MMR005031
 Total,7848,38352,46200,Mawlaik,MMR005031
