Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2279,29318,31597,Mawlamyinegyun,MMR017018
 Grade 1,843,10057,10900,Mawlamyinegyun,MMR017018
 Grade 2,1148,11773,12921,Mawlamyinegyun,MMR017018
 Grade 3,1717,19463,21180,Mawlamyinegyun,MMR017018
 Grade 4,2597,25879,28476,Mawlamyinegyun,MMR017018
 Grade 5,4118,64028,68146,Mawlamyinegyun,MMR017018
 Grade 6,1865,14946,16811,Mawlamyinegyun,MMR017018
 Grade 7,1608,11266,12874,Mawlamyinegyun,MMR017018
 Grade 8,1784,10001,11785,Mawlamyinegyun,MMR017018
 Grade 9,2040,10382,12422,Mawlamyinegyun,MMR017018
 Grade 10,2341,7874,10215,Mawlamyinegyun,MMR017018
 Grade 11,2637,7584,10221,Mawlamyinegyun,MMR017018
 College,897,1996,2893,Mawlamyinegyun,MMR017018
 Vocational training,43,48,91,Mawlamyinegyun,MMR017018
 Undergraduate diploma,121,366,487,Mawlamyinegyun,MMR017018
 Graduate,2957,3461,6418,Mawlamyinegyun,MMR017018
 Postgraduate diploma,80,70,150,Mawlamyinegyun,MMR017018
 Master degree,20,23,43,Mawlamyinegyun,MMR017018
 PhD,8,4,12,Mawlamyinegyun,MMR017018
 Other,1358,20767,22125,Mawlamyinegyun,MMR017018
 Total,30461,249306,279767,Mawlamyinegyun,MMR017018
