Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,488,33364,33852,Minekat,MMR016002
 Grade 1,100,750,850,Minekat,MMR016002
 Grade 2,67,455,522,Minekat,MMR016002
 Grade 3,152,363,515,Minekat,MMR016002
 Grade 4,131,273,404,Minekat,MMR016002
 Grade 5,288,439,727,Minekat,MMR016002
 Grade 6,150,193,343,Minekat,MMR016002
 Grade 7,145,98,243,Minekat,MMR016002
 Grade 8,163,82,245,Minekat,MMR016002
 Grade 9,196,143,339,Minekat,MMR016002
 Grade 10,147,67,214,Minekat,MMR016002
 Grade 11,227,63,290,Minekat,MMR016002
 College,86,31,117,Minekat,MMR016002
 Vocational training,3,2,5,Minekat,MMR016002
 Undergraduate diploma,19,6,25,Minekat,MMR016002
 Graduate,225,27,252,Minekat,MMR016002
 Postgraduate diploma,4,12,16,Minekat,MMR016002
 Master degree,8,-,8,Minekat,MMR016002
 Other,4,524,528,Minekat,MMR016002
 Total,2603,36892,39495,Minekat,MMR016002
