Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4864,-,4864,Mingala Taungnyunt,MMR013022
 Grade 1,2339,-,2339,Mingala Taungnyunt,MMR013022
 Grade 2,2876,-,2876,Mingala Taungnyunt,MMR013022
 Grade 3,4041,-,4041,Mingala Taungnyunt,MMR013022
 Grade 4,5833,-,5833,Mingala Taungnyunt,MMR013022
 Grade 5,10414,-,10414,Mingala Taungnyunt,MMR013022
 Grade 6,6885,-,6885,Mingala Taungnyunt,MMR013022
 Grade 7,5892,-,5892,Mingala Taungnyunt,MMR013022
 Grade 8,7955,-,7955,Mingala Taungnyunt,MMR013022
 Grade 9,10554,-,10554,Mingala Taungnyunt,MMR013022
 Grade 10,12788,-,12788,Mingala Taungnyunt,MMR013022
 Grade 11,17220,-,17220,Mingala Taungnyunt,MMR013022
 College,7321,-,7321,Mingala Taungnyunt,MMR013022
 Vocational training,411,-,411,Mingala Taungnyunt,MMR013022
 Undergraduate diploma,711,-,711,Mingala Taungnyunt,MMR013022
 Graduate,22682,-,22682,Mingala Taungnyunt,MMR013022
 Postgraduate diploma,642,-,642,Mingala Taungnyunt,MMR013022
 Master degree,647,-,647,Mingala Taungnyunt,MMR013022
 PhD,140,-,140,Mingala Taungnyunt,MMR013022
 Other,144,-,144,Mingala Taungnyunt,MMR013022
 Total,124359,-,124359,Mingala Taungnyunt,MMR013022
