Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,6927,5946,12873,Mingaladon,MMR013002
 Grade 1,3973,2631,6604,Mingaladon,MMR013002
 Grade 2,5372,3767,9139,Mingaladon,MMR013002
 Grade 3,7343,5570,12913,Mingaladon,MMR013002
 Grade 4,11836,9115,20951,Mingaladon,MMR013002
 Grade 5,20942,18225,39167,Mingaladon,MMR013002
 Grade 6,12235,9647,21882,Mingaladon,MMR013002
 Grade 7,9837,7620,17457,Mingaladon,MMR013002
 Grade 8,12710,8960,21670,Mingaladon,MMR013002
 Grade 9,16610,11780,28390,Mingaladon,MMR013002
 Grade 10,18808,10172,28980,Mingaladon,MMR013002
 Grade 11,23380,15418,38798,Mingaladon,MMR013002
 College,9189,4300,13489,Mingaladon,MMR013002
 Vocational training,347,170,517,Mingaladon,MMR013002
 Undergraduate diploma,723,429,1152,Mingaladon,MMR013002
 Graduate,21792,9409,31201,Mingaladon,MMR013002
 Postgraduate diploma,830,158,988,Mingaladon,MMR013002
 Master degree,685,135,820,Mingaladon,MMR013002
 PhD,139,46,185,Mingaladon,MMR013002
 Other,945,385,1330,Mingaladon,MMR013002
 Total,184623,123883,308506,Mingaladon,MMR013002
