Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,76,5154,5230,Mingin,MMR005029
 Grade 1,77,3013,3090,Mingin,MMR005029
 Grade 2,87,3480,3567,Mingin,MMR005029
 Grade 3,143,5716,5859,Mingin,MMR005029
 Grade 4,168,8089,8257,Mingin,MMR005029
 Grade 5,615,30448,31063,Mingin,MMR005029
 Grade 6,164,5426,5590,Mingin,MMR005029
 Grade 7,140,4800,4940,Mingin,MMR005029
 Grade 8,180,4505,4685,Mingin,MMR005029
 Grade 9,262,4955,5217,Mingin,MMR005029
 Grade 10,150,3548,3698,Mingin,MMR005029
 Grade 11,505,4388,4893,Mingin,MMR005029
 College,155,1707,1862,Mingin,MMR005029
 Vocational training,2,59,61,Mingin,MMR005029
 Undergraduate diploma,10,168,178,Mingin,MMR005029
 Graduate,470,2331,2801,Mingin,MMR005029
 Postgraduate diploma,7,34,41,Mingin,MMR005029
 Master degree,1,25,26,Mingin,MMR005029
 PhD,-,3,3,Mingin,MMR005029
 Other,8,3175,3183,Mingin,MMR005029
 Total,3220,91024,94244,Mingin,MMR005029
