Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,97,99,196,Mobaingluk(ST),MMR005035
 Grade 1,33,11,44,Mobaingluk(ST),MMR005035
 Grade 2,38,17,55,Mobaingluk(ST),MMR005035
 Grade 3,51,19,70,Mobaingluk(ST),MMR005035
 Grade 4,79,23,102,Mobaingluk(ST),MMR005035
 Grade 5,88,65,153,Mobaingluk(ST),MMR005035
 Grade 6,61,20,81,Mobaingluk(ST),MMR005035
 Grade 7,52,27,79,Mobaingluk(ST),MMR005035
 Grade 8,81,33,114,Mobaingluk(ST),MMR005035
 Grade 9,52,22,74,Mobaingluk(ST),MMR005035
 Grade 10,88,20,108,Mobaingluk(ST),MMR005035
 Grade 11,16,-,16,Mobaingluk(ST),MMR005035
 College,8,6,14,Mobaingluk(ST),MMR005035
 Vocational training,-,1,1,Mobaingluk(ST),MMR005035
 Undergraduate diploma,10,-,10,Mobaingluk(ST),MMR005035
 Graduate,28,2,30,Mobaingluk(ST),MMR005035
 Postgraduate diploma,1,-,1,Mobaingluk(ST),MMR005035
 Master degree,1,-,1,Mobaingluk(ST),MMR005035
 Other,39,10,49,Mobaingluk(ST),MMR005035
 Total,823,375,1198,Mobaingluk(ST),MMR005035
