Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,6365,10368,16733,Mogok,MMR010011
 Grade 1,1828,2961,4789,Mogok,MMR010011
 Grade 2,2594,3931,6525,Mogok,MMR010011
 Grade 3,3919,5325,9244,Mogok,MMR010011
 Grade 4,5109,7105,12214,Mogok,MMR010011
 Grade 5,10023,14534,24557,Mogok,MMR010011
 Grade 6,5171,5835,11006,Mogok,MMR010011
 Grade 7,4441,4929,9370,Mogok,MMR010011
 Grade 8,4728,5242,9970,Mogok,MMR010011
 Grade 9,5566,5411,10977,Mogok,MMR010011
 Grade 10,4964,4446,9410,Mogok,MMR010011
 Grade 11,8720,5593,14313,Mogok,MMR010011
 College,2630,1676,4306,Mogok,MMR010011
 Vocational training,70,62,132,Mogok,MMR010011
 Undergraduate diploma,261,208,469,Mogok,MMR010011
 Graduate,4971,2625,7596,Mogok,MMR010011
 Postgraduate diploma,68,51,119,Mogok,MMR010011
 Master degree,51,19,70,Mogok,MMR010011
 PhD,8,6,14,Mogok,MMR010011
 Other,140,1249,1389,Mogok,MMR010011
 Total,71627,81576,153203,Mogok,MMR010011
