Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,582,5798,6380,Momeik,MMR015017
 Grade 1,199,1737,1936,Momeik,MMR015017
 Grade 2,342,2568,2910,Momeik,MMR015017
 Grade 3,498,4002,4500,Momeik,MMR015017
 Grade 4,678,4934,5612,Momeik,MMR015017
 Grade 5,1520,13416,14936,Momeik,MMR015017
 Grade 6,726,3357,4083,Momeik,MMR015017
 Grade 7,582,2751,3333,Momeik,MMR015017
 Grade 8,587,2232,2819,Momeik,MMR015017
 Grade 9,701,1970,2671,Momeik,MMR015017
 Grade 10,644,1145,1789,Momeik,MMR015017
 Grade 11,1166,1892,3058,Momeik,MMR015017
 College,291,508,799,Momeik,MMR015017
 Vocational training,9,23,32,Momeik,MMR015017
 Undergraduate diploma,35,47,82,Momeik,MMR015017
 Graduate,874,994,1868,Momeik,MMR015017
 Postgraduate diploma,45,31,76,Momeik,MMR015017
 Master degree,4,11,15,Momeik,MMR015017
 PhD,1,2,3,Momeik,MMR015017
 Other,1,409,410,Momeik,MMR015017
 Total,9485,47827,57312,Momeik,MMR015017
