Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2379,8703,11082,Mone`,MMR014019
 Grade 1,411,890,1301,Mone`,MMR014019
 Grade 2,527,895,1422,Mone`,MMR014019
 Grade 3,601,1063,1664,Mone`,MMR014019
 Grade 4,585,1084,1669,Mone`,MMR014019
 Grade 5,989,1414,2403,Mone`,MMR014019
 Grade 6,489,464,953,Mone`,MMR014019
 Grade 7,406,383,789,Mone`,MMR014019
 Grade 8,460,388,848,Mone`,MMR014019
 Grade 9,521,349,870,Mone`,MMR014019
 Grade 10,518,382,900,Mone`,MMR014019
 Grade 11,410,121,531,Mone`,MMR014019
 College,171,56,227,Mone`,MMR014019
 Vocational training,12,3,15,Mone`,MMR014019
 Undergraduate diploma,17,6,23,Mone`,MMR014019
 Graduate,428,156,584,Mone`,MMR014019
 Postgraduate diploma,10,4,14,Mone`,MMR014019
 Master degree,7,8,15,Mone`,MMR014019
 PhD,1,-,1,Mone`,MMR014019
 Other,13,509,522,Mone`,MMR014019
 Total,8955,16878,25833,Mone`,MMR014019
