Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,159,2301,2460,Monehta(ST),MMR016008
 Grade 1,3,197,200,Monehta(ST),MMR016008
 Grade 2,13,202,215,Monehta(ST),MMR016008
 Grade 3,21,191,212,Monehta(ST),MMR016008
 Grade 4,12,100,112,Monehta(ST),MMR016008
 Grade 5,29,78,107,Monehta(ST),MMR016008
 Grade 6,12,67,79,Monehta(ST),MMR016008
 Grade 7,15,37,52,Monehta(ST),MMR016008
 Grade 8,14,17,31,Monehta(ST),MMR016008
 Grade 9,30,13,43,Monehta(ST),MMR016008
 Grade 10,20,18,38,Monehta(ST),MMR016008
 Grade 11,7,5,12,Monehta(ST),MMR016008
 College,1,6,7,Monehta(ST),MMR016008
 Vocational training,2,1,3,Monehta(ST),MMR016008
 Undergraduate diploma,2,1,3,Monehta(ST),MMR016008
 Graduate,26,-,26,Monehta(ST),MMR016008
 Postgraduate diploma,4,-,4,Monehta(ST),MMR016008
 Other,1,52,53,Monehta(ST),MMR016008
 Total,371,3286,3657,Monehta(ST),MMR016008
