Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4182,8481,12663,Monekoe(ST),MMR015009
 Grade 1,406,744,1150,Monekoe(ST),MMR015009
 Grade 2,424,786,1210,Monekoe(ST),MMR015009
 Grade 3,469,801,1270,Monekoe(ST),MMR015009
 Grade 4,398,708,1106,Monekoe(ST),MMR015009
 Grade 5,448,753,1201,Monekoe(ST),MMR015009
 Grade 6,309,427,736,Monekoe(ST),MMR015009
 Grade 7,239,366,605,Monekoe(ST),MMR015009
 Grade 8,205,211,416,Monekoe(ST),MMR015009
 Grade 9,213,238,451,Monekoe(ST),MMR015009
 Grade 10,194,164,358,Monekoe(ST),MMR015009
 Grade 11,233,147,380,Monekoe(ST),MMR015009
 College,28,38,66,Monekoe(ST),MMR015009
 Undergraduate diploma,17,9,26,Monekoe(ST),MMR015009
 Graduate,93,52,145,Monekoe(ST),MMR015009
 Postgraduate diploma,10,10,20,Monekoe(ST),MMR015009
 Master degree,5,1,6,Monekoe(ST),MMR015009
 Other,8,71,79,Monekoe(ST),MMR015009
 Total,7881,14007,21888,Monekoe(ST),MMR015009
