Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4111,29268,33379,Myaungmya,MMR017014
 Grade 1,1413,11369,12782,Myaungmya,MMR017014
 Grade 2,1885,15861,17746,Myaungmya,MMR017014
 Grade 3,2877,22825,25702,Myaungmya,MMR017014
 Grade 4,3754,23054,26808,Myaungmya,MMR017014
 Grade 5,8707,52965,61672,Myaungmya,MMR017014
 Grade 6,3679,12361,16040,Myaungmya,MMR017014
 Grade 7,2840,8854,11694,Myaungmya,MMR017014
 Grade 8,3393,8398,11791,Myaungmya,MMR017014
 Grade 9,4284,8506,12790,Myaungmya,MMR017014
 Grade 10,4243,6097,10340,Myaungmya,MMR017014
 Grade 11,5522,7295,12817,Myaungmya,MMR017014
 College,1699,1637,3336,Myaungmya,MMR017014
 Vocational training,125,102,227,Myaungmya,MMR017014
 Undergraduate diploma,241,174,415,Myaungmya,MMR017014
 Graduate,5114,3018,8132,Myaungmya,MMR017014
 Postgraduate diploma,264,145,409,Myaungmya,MMR017014
 Master degree,82,26,108,Myaungmya,MMR017014
 PhD,12,9,21,Myaungmya,MMR017014
 Other,131,4613,4744,Myaungmya,MMR017014
 Total,54376,216577,270953,Myaungmya,MMR017014
