Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1366,18967,20333,Myitthar,MMR010015
 Grade 1,602,7152,7754,Myitthar,MMR010015
 Grade 2,841,11093,11934,Myitthar,MMR010015
 Grade 3,1102,15643,16745,Myitthar,MMR010015
 Grade 4,2292,34084,36376,Myitthar,MMR010015
 Grade 5,2380,25371,27751,Myitthar,MMR010015
 Grade 6,1018,8814,9832,Myitthar,MMR010015
 Grade 7,1044,7866,8910,Myitthar,MMR010015
 Grade 8,1185,7600,8785,Myitthar,MMR010015
 Grade 9,1087,6116,7203,Myitthar,MMR010015
 Grade 10,2005,6308,8313,Myitthar,MMR010015
 Grade 11,392,1568,1960,Myitthar,MMR010015
 College,720,1782,2502,Myitthar,MMR010015
 Vocational training,39,112,151,Myitthar,MMR010015
 Undergraduate diploma,73,229,302,Myitthar,MMR010015
 Graduate,1772,4002,5774,Myitthar,MMR010015
 Postgraduate diploma,38,99,137,Myitthar,MMR010015
 Master degree,33,68,101,Myitthar,MMR010015
 PhD,2,3,5,Myitthar,MMR010015
 Other,13,4577,4590,Myitthar,MMR010015
 Total,18004,161454,179458,Myitthar,MMR010015
