Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,76,1140,1216,Myothit(ST),MMR005030
 Grade 1,53,619,672,Myothit(ST),MMR005030
 Grade 2,51,633,684,Myothit(ST),MMR005030
 Grade 3,97,854,951,Myothit(ST),MMR005030
 Grade 4,101,1254,1355,Myothit(ST),MMR005030
 Grade 5,278,2317,2595,Myothit(ST),MMR005030
 Grade 6,104,1030,1134,Myothit(ST),MMR005030
 Grade 7,88,977,1065,Myothit(ST),MMR005030
 Grade 8,107,1011,1118,Myothit(ST),MMR005030
 Grade 9,153,1016,1169,Myothit(ST),MMR005030
 Grade 10,125,681,806,Myothit(ST),MMR005030
 Grade 11,131,848,979,Myothit(ST),MMR005030
 College,31,118,149,Myothit(ST),MMR005030
 Vocational training,2,124,126,Myothit(ST),MMR005030
 Undergraduate diploma,1,47,48,Myothit(ST),MMR005030
 Graduate,59,195,254,Myothit(ST),MMR005030
 Postgraduate diploma,1,11,12,Myothit(ST),MMR005030
 Master degree,1,2,3,Myothit(ST),MMR005030
 Other,-,231,231,Myothit(ST),MMR005030
 Total,1459,13108,14567,Myothit(ST),MMR005030
