Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,365,25284,25649,Myothit,MMR009005
 Grade 1,167,5241,5408,Myothit,MMR009005
 Grade 2,239,7425,7664,Myothit,MMR009005
 Grade 3,327,10844,11171,Myothit,MMR009005
 Grade 4,510,14560,15070,Myothit,MMR009005
 Grade 5,1023,31346,32369,Myothit,MMR009005
 Grade 6,450,9257,9707,Myothit,MMR009005
 Grade 7,421,7509,7930,Myothit,MMR009005
 Grade 8,522,6864,7386,Myothit,MMR009005
 Grade 9,651,5880,6531,Myothit,MMR009005
 Grade 10,532,4552,5084,Myothit,MMR009005
 Grade 11,945,3911,4856,Myothit,MMR009005
 College,315,1321,1636,Myothit,MMR009005
 Vocational training,19,126,145,Myothit,MMR009005
 Undergraduate diploma,58,162,220,Myothit,MMR009005
 Graduate,890,2277,3167,Myothit,MMR009005
 Postgraduate diploma,21,137,158,Myothit,MMR009005
 Master degree,12,34,46,Myothit,MMR009005
 PhD,1,2,3,Myothit,MMR009005
 Other,5,251,256,Myothit,MMR009005
 Total,7473,136983,144456,Myothit,MMR009005
