Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,898,11345,12243,Nattalin,MMR008012
 Grade 1,401,4581,4982,Nattalin,MMR008012
 Grade 2,639,7357,7996,Nattalin,MMR008012
 Grade 3,864,10760,11624,Nattalin,MMR008012
 Grade 4,3161,26076,29237,Nattalin,MMR008012
 Grade 5,1801,39040,40841,Nattalin,MMR008012
 Grade 6,952,8427,9379,Nattalin,MMR008012
 Grade 7,1131,7548,8679,Nattalin,MMR008012
 Grade 8,1396,7443,8839,Nattalin,MMR008012
 Grade 9,1264,5938,7202,Nattalin,MMR008012
 Grade 10,2145,7001,9146,Nattalin,MMR008012
 Grade 11,585,1682,2267,Nattalin,MMR008012
 College,493,1204,1697,Nattalin,MMR008012
 Vocational training,32,123,155,Nattalin,MMR008012
 Undergraduate diploma,83,156,239,Nattalin,MMR008012
 Graduate,1830,2864,4694,Nattalin,MMR008012
 Postgraduate diploma,34,37,71,Nattalin,MMR008012
 Master degree,24,17,41,Nattalin,MMR008012
 PhD,6,-,6,Nattalin,MMR008012
 Other,20,1216,1236,Nattalin,MMR008012
 Total,17759,142815,160574,Nattalin,MMR008012
