Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,113,242,355,Naungmoon,MMR001017
 Grade 1,67,179,246,Naungmoon,MMR001017
 Grade 2,74,191,265,Naungmoon,MMR001017
 Grade 3,106,186,292,Naungmoon,MMR001017
 Grade 4,96,224,320,Naungmoon,MMR001017
 Grade 5,177,363,540,Naungmoon,MMR001017
 Grade 6,103,248,351,Naungmoon,MMR001017
 Grade 7,135,210,345,Naungmoon,MMR001017
 Grade 8,104,205,309,Naungmoon,MMR001017
 Grade 9,168,206,374,Naungmoon,MMR001017
 Grade 10,253,225,478,Naungmoon,MMR001017
 Grade 11,328,251,579,Naungmoon,MMR001017
 College,38,11,49,Naungmoon,MMR001017
 Vocational training,4,-,4,Naungmoon,MMR001017
 Undergraduate diploma,5,1,6,Naungmoon,MMR001017
 Graduate,94,10,104,Naungmoon,MMR001017
 Postgraduate diploma,-,2,2,Naungmoon,MMR001017
 Master degree,-,1,1,Naungmoon,MMR001017
 PhD,-,1,1,Naungmoon,MMR001017
 Other,1,5,6,Naungmoon,MMR001017
 Total,1866,2761,4627,Naungmoon,MMR001017
