Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,639,16351,16990,Ngaputaw,MMR017004
 Grade 1,329,8133,8462,Ngaputaw,MMR017004
 Grade 2,445,11177,11622,Ngaputaw,MMR017004
 Grade 3,704,16034,16738,Ngaputaw,MMR017004
 Grade 4,1090,16701,17791,Ngaputaw,MMR017004
 Grade 5,1528,30258,31786,Ngaputaw,MMR017004
 Grade 6,645,8997,9642,Ngaputaw,MMR017004
 Grade 7,567,5996,6563,Ngaputaw,MMR017004
 Grade 8,492,5455,5947,Ngaputaw,MMR017004
 Grade 9,567,5678,6245,Ngaputaw,MMR017004
 Grade 10,655,4305,4960,Ngaputaw,MMR017004
 Grade 11,828,4101,4929,Ngaputaw,MMR017004
 College,315,1210,1525,Ngaputaw,MMR017004
 Vocational training,7,338,345,Ngaputaw,MMR017004
 Undergraduate diploma,19,190,209,Ngaputaw,MMR017004
 Graduate,877,2214,3091,Ngaputaw,MMR017004
 Postgraduate diploma,10,83,93,Ngaputaw,MMR017004
 Master degree,16,43,59,Ngaputaw,MMR017004
 PhD,1,2,3,Ngaputaw,MMR017004
 Other,195,4044,4239,Ngaputaw,MMR017004
 Total,9929,141310,151239,Ngaputaw,MMR017004
