Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1421,5682,7103,Ngathaingchaung(ST),MMR017006
 Grade 1,479,2424,2903,Ngathaingchaung(ST),MMR017006
 Grade 2,645,3322,3967,Ngathaingchaung(ST),MMR017006
 Grade 3,1094,4946,6040,Ngathaingchaung(ST),MMR017006
 Grade 4,1759,7269,9028,Ngathaingchaung(ST),MMR017006
 Grade 5,3109,19191,22300,Ngathaingchaung(ST),MMR017006
 Grade 6,996,3599,4595,Ngathaingchaung(ST),MMR017006
 Grade 7,980,2805,3785,Ngathaingchaung(ST),MMR017006
 Grade 8,991,2835,3826,Ngathaingchaung(ST),MMR017006
 Grade 9,1037,2865,3902,Ngathaingchaung(ST),MMR017006
 Grade 10,1539,2491,4030,Ngathaingchaung(ST),MMR017006
 Grade 11,961,1824,2785,Ngathaingchaung(ST),MMR017006
 College,448,615,1063,Ngathaingchaung(ST),MMR017006
 Vocational training,38,21,59,Ngathaingchaung(ST),MMR017006
 Undergraduate diploma,43,84,127,Ngathaingchaung(ST),MMR017006
 Graduate,1288,1141,2429,Ngathaingchaung(ST),MMR017006
 Postgraduate diploma,14,17,31,Ngathaingchaung(ST),MMR017006
 Master degree,11,11,22,Ngathaingchaung(ST),MMR017006
 PhD,4,-,4,Ngathaingchaung(ST),MMR017006
 Other,395,2993,3388,Ngathaingchaung(ST),MMR017006
 Total,17252,64135,81387,Ngathaingchaung(ST),MMR017006
