Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,166,3448,3614,Ngayokaung(ST),MMR017004
 Grade 1,83,1242,1325,Ngayokaung(ST),MMR017004
 Grade 2,87,1706,1793,Ngayokaung(ST),MMR017004
 Grade 3,159,2690,2849,Ngayokaung(ST),MMR017004
 Grade 4,230,3381,3611,Ngayokaung(ST),MMR017004
 Grade 5,525,6805,7330,Ngayokaung(ST),MMR017004
 Grade 6,236,2768,3004,Ngayokaung(ST),MMR017004
 Grade 7,188,2003,2191,Ngayokaung(ST),MMR017004
 Grade 8,182,1733,1915,Ngayokaung(ST),MMR017004
 Grade 9,212,2318,2530,Ngayokaung(ST),MMR017004
 Grade 10,187,1275,1462,Ngayokaung(ST),MMR017004
 Grade 11,331,1729,2060,Ngayokaung(ST),MMR017004
 College,129,464,593,Ngayokaung(ST),MMR017004
 Vocational training,3,36,39,Ngayokaung(ST),MMR017004
 Undergraduate diploma,3,24,27,Ngayokaung(ST),MMR017004
 Graduate,197,536,733,Ngayokaung(ST),MMR017004
 Postgraduate diploma,5,37,42,Ngayokaung(ST),MMR017004
 Master degree,1,5,6,Ngayokaung(ST),MMR017004
 PhD,-,2,2,Ngayokaung(ST),MMR017004
 Other,89,2232,2321,Ngayokaung(ST),MMR017004
 Total,3013,34434,37447,Ngayokaung(ST),MMR017004
