Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,604,17374,17978,Ngazun,MMR010021
 Grade 1,208,3126,3334,Ngazun,MMR010021
 Grade 2,221,4887,5108,Ngazun,MMR010021
 Grade 3,336,8572,8908,Ngazun,MMR010021
 Grade 4,710,11506,12216,Ngazun,MMR010021
 Grade 5,1225,34932,36157,Ngazun,MMR010021
 Grade 6,435,5169,5604,Ngazun,MMR010021
 Grade 7,322,4306,4628,Ngazun,MMR010021
 Grade 8,288,3717,4005,Ngazun,MMR010021
 Grade 9,322,3413,3735,Ngazun,MMR010021
 Grade 10,515,3015,3530,Ngazun,MMR010021
 Grade 11,436,3052,3488,Ngazun,MMR010021
 College,202,1421,1623,Ngazun,MMR010021
 Vocational training,4,75,79,Ngazun,MMR010021
 Undergraduate diploma,18,132,150,Ngazun,MMR010021
 Graduate,684,2410,3094,Ngazun,MMR010021
 Postgraduate diploma,6,57,63,Ngazun,MMR010021
 Master degree,1,48,49,Ngazun,MMR010021
 PhD,-,6,6,Ngazun,MMR010021
 Other,3,757,760,Ngazun,MMR010021
 Total,6540,107975,114515,Ngazun,MMR010021
