Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1531,4460,5991,Ngwehsaung(ST),MMR017001
 Grade 1,366,1716,2082,Ngwehsaung(ST),MMR017001
 Grade 2,552,2362,2914,Ngwehsaung(ST),MMR017001
 Grade 3,988,2941,3929,Ngwehsaung(ST),MMR017001
 Grade 4,1500,3840,5340,Ngwehsaung(ST),MMR017001
 Grade 5,1589,4225,5814,Ngwehsaung(ST),MMR017001
 Grade 6,788,1429,2217,Ngwehsaung(ST),MMR017001
 Grade 7,662,1092,1754,Ngwehsaung(ST),MMR017001
 Grade 8,786,1076,1862,Ngwehsaung(ST),MMR017001
 Grade 9,715,1006,1721,Ngwehsaung(ST),MMR017001
 Grade 10,1288,1341,2629,Ngwehsaung(ST),MMR017001
 Grade 11,377,244,621,Ngwehsaung(ST),MMR017001
 College,523,237,760,Ngwehsaung(ST),MMR017001
 Vocational training,10,13,23,Ngwehsaung(ST),MMR017001
 Undergraduate diploma,23,17,40,Ngwehsaung(ST),MMR017001
 Graduate,1576,469,2045,Ngwehsaung(ST),MMR017001
 Postgraduate diploma,47,9,56,Ngwehsaung(ST),MMR017001
 Master degree,33,3,36,Ngwehsaung(ST),MMR017001
 PhD,7,1,8,Ngwehsaung(ST),MMR017001
 Other,91,125,216,Ngwehsaung(ST),MMR017001
 Total,13452,26606,40058,Ngwehsaung(ST),MMR017001
