Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3799,22744,26543,Nyaung U,MMR010022
 Grade 1,1128,5132,6260,Nyaung U,MMR010022
 Grade 2,1688,7804,9492,Nyaung U,MMR010022
 Grade 3,2338,10662,13000,Nyaung U,MMR010022
 Grade 4,5544,21254,26798,Nyaung U,MMR010022
 Grade 5,4676,25378,30054,Nyaung U,MMR010022
 Grade 6,2219,7185,9404,Nyaung U,MMR010022
 Grade 7,2558,6933,9491,Nyaung U,MMR010022
 Grade 8,2946,7015,9961,Nyaung U,MMR010022
 Grade 9,2722,6244,8966,Nyaung U,MMR010022
 Grade 10,6363,7339,13702,Nyaung U,MMR010022
 Grade 11,1500,2087,3587,Nyaung U,MMR010022
 College,1460,1810,3270,Nyaung U,MMR010022
 Vocational training,116,177,293,Nyaung U,MMR010022
 Undergraduate diploma,255,336,591,Nyaung U,MMR010022
 Graduate,5381,4176,9557,Nyaung U,MMR010022
 Postgraduate diploma,95,92,187,Nyaung U,MMR010022
 Master degree,71,68,139,Nyaung U,MMR010022
 PhD,14,4,18,Nyaung U,MMR010022
 Other,211,1875,2086,Nyaung U,MMR010022
 Total,45084,138315,183399,Nyaung U,MMR010022
